,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,3PA,PPG,RPG,TRB%,APG,SPG,BPG,TOPG
1454,Jimmy Butler,Min,SF,28,5,34.1,71,19.7,0.066,18,0.833,46,17,15.8,6,10.1,4,0.8,0.2,1
1455,JJ Redick,Phi,SG,33,10,34.2,71.3,20.5,0.067,42,0.857,60,75,18.2,1.5,2.4,2.6,0.8,0.1,1.1
1456,Joe Ingles,Uta,SF,30,11,34.8,72.4,18.1,0.168,17,0.647,44,77,14.5,4.4,7.1,3.4,0.55,0.18,2.36
1457,Joe Johnson,Hou,SF,36,8,6.7,14,16.4,0.15,0,0,14,3,1.5,1.3,10.4,0.4,0,0.13,0.38
1458,Joe Young,Ind,PG,25,1,2.7,5.6,0,,0,0,0,0,0,0,0,0,0,0,0
1459,Joel Embiid,Phi,C,23,8,34.8,72.4,29.7,0.15,61,0.705,109,29,21.4,12.8,19.7,3,0.88,1.88,3.63
1460,Joffrey Lauvergne,San,C,26,1,5.9,12.3,7.6,0,0,0,1,0,2,1,9.4,0,0,0,0
1461,John Henson,Mil,C,27,2,37.1,77.3,10.9,0.224,2,0.5,13,0,9.5,6,9.5,2.5,0,3.5,2
1462,John Wall,Was,PG,27,6,39.1,81.4,32.9,0.155,47,0.851,106,21,26,5.5,8,11.5,2.17,1.33,4.5
1463,Jonas Jerebko,Uta,PF,30,10,7.9,16.4,11.9,0.048,2,1,13,6,1.9,1.6,11.4,0.3,0.3,0,0.1
1464,Jonas Valanciunas,Tor,C,25,10,24.5,50.9,25.4,0.135,34,0.824,102,5,14.6,10.5,24.3,1.2,0.4,1.5,1.9
1465,Jordan Bell,Gol,PF,23,17,10.2,21.3,11.2,0.136,14,0.5,31,1,2.4,2.8,15.1,0.9,0.35,0.53,0.35
1466,Jordan Clarkson,Cle,SG,25,19,15,31.3,21.7,0.094,6,0.833,77,46,4.7,1.7,6.4,0.7,0.42,0.16,0.68
1467,Jordan Crawford,Nor,SG,29,2,7.7,15.9,45.2,0.188,0,0,5,8,9.5,2,14.1,0.5,0.5,0,1.5
1468,Jose Calderon,Cle,PG,36,13,8,16.7,13.6,0.157,2,1,8,18,1.8,0.8,6,0.7,0.38,0,0.38
1469,Josh Huestis,Okc,SF,26,4,4.8,10.1,6.4,0,2,0.5,2,0,0.8,0.8,8.6,0,0.25,0.25,0
1470,Josh Richardson,Mia,SG,24,5,25.9,54,16.6,0.104,7,0.857,21,19,8.4,3,6.5,2.8,2.2,1,1
1471,JR Smith,Cle,SG,32,22,32.1,66.9,13.6,0.084,22,0.773,67,120,8.7,2.6,4.7,1.1,0.95,0.18,0.82
1472,Jrue Holiday,Nor,PG,27,9,38.7,80.7,25.6,0.112,30,0.7,120,50,23.7,5.7,7.9,6.3,1.11,0.67,2.56
1473,Justin Anderson,Phi,SF,24,7,4.7,9.8,13,0.2,0,0,1,7,1.1,1.3,14.8,0,0.14,0,0.29
1474,Justise Winslow,Mia,SF,21,5,25,52,20.6,0.139,17,0.706,23,19,9.8,6.6,14.8,2.6,0.8,0.8,1.6
1475,Jusuf Nurkic,Por,C,23,4,23.4,48.7,22,0.064,11,0.818,39,0,11.8,8,18.7,1,1.5,1.25,0.75
1476,Karl-Anthony Towns,Min,C,22,5,33.9,70.7,21.4,0.146,23,0.739,49,11,15.2,13.4,22.7,2.2,0.4,1,2.4
1477,Kelly Olynyk,Mia,C,26,5,29.2,60.9,18.6,0.132,20,0.7,25,19,12.8,4.6,8.8,3.8,1.4,1.2,1.6
1478,Kelly Oubre Jr.,Was,SF,22,6,24.7,51.5,18.1,0.082,18,0.889,29,19,9.3,3.8,8.8,0.7,1,0.5,0.83
1479,Kevin Durant,Gol,SF,29,21,38.4,80.1,30.1,0.091,152,0.901,297,138,29,7.7,11.2,4.7,0.71,1.14,2.38
1480,Kevin Love,Cle,PF,29,21,31.4,65.5,23.5,0.118,64,0.922,172,106,14.9,10.2,18.5,1.6,0.71,0.38,1.95
1481,Kevon Looney,Gol,PF,21,21,18.4,38.4,10.3,0.089,21,0.381,71,2,4.1,4.3,13,1,0.71,0.38,0.38
1482,Khris Middleton,Mil,PF,26,7,39.3,82,22.5,0.117,19,0.737,71,41,24.7,5.1,7.7,3.1,0.86,0.71,2.29
1483,Klay Thompson,Gol,SG,27,21,37.8,78.8,21.5,0.08,31,0.871,185,157,19.6,4.1,6,1.8,0.76,0.29,1.48
1484,Kyle Anderson,San,SG,24,5,14.7,30.6,15.1,0.121,4,0.75,16,4,5.4,2.6,9.8,0.6,1.2,0.2,0.6
1485,Kyle Korver,Cle,SG,36,22,22.9,47.8,14.6,0.085,22,0.864,32,109,8.3,2.4,5.9,0.9,0.41,0.41,0.64
1486,Kyle Lowry,Tor,PG,31,10,36.1,75.2,19.9,0.19,32,0.813,55,63,17.4,4.3,6.7,8.5,1.5,0,3.1
1487,LaMarcus Aldridge,San,PF,32,5,35.3,73.5,27.2,0.084,42,0.976,75,5,23.6,9.2,14.5,2.4,0.6,0.4,1.8
1488,Lance Stephenson,Ind,SG,27,7,21.3,44.5,23.4,0.115,9,0.556,39,26,10.4,2.7,7.2,2.9,0.29,0.14,1.29
1489,Larry Nance Jr.,Cle,PF,25,20,15.4,32,12.5,0.14,31,0.452,59,1,4.8,4.5,16.6,0.9,0.8,0.7,0.6
1490,LeBron James,Cle,SF,33,22,41.9,87.3,33.8,0.135,213,0.746,396,114,34,9.1,12.4,9,1.36,1.05,4.27
1491,Lorenzo Brown,Tor,G,27,4,7.2,15,18.1,0.084,2,0.5,5,5,2.3,1.5,11.8,0.5,0,0.25,0.25
1492,Luc Mbah a Moute,Hou,PF,31,9,16.6,34.6,13.4,0.133,7,0.571,21,15,2.8,2.4,8.3,0.3,0.67,0.44,0.67
1493,Lucas Nogueira,Tor,C,25,5,4.8,10,8.9,0.615,2,0.5,1,0,0.2,0.2,2.4,0.2,0,0,0.6
1494,Luke Babbitt,Mia,SF,28,2,1.7,3.4,13.6,0,0,0,1,0,0,0,0,0,0,0,0
1495,Malcolm Brogdon,Mil,SG,25,7,26.6,55.4,17.4,0.168,10,0.8,36,19,8.7,3.4,7.6,2.4,0.14,0,1.71
1496,Manu Ginobili,San,SG,40,5,21.3,44.4,20.5,0.143,11,0.818,19,18,9,3,7.8,3.2,1.4,0.2,1.4
1497,Marcin Gortat,Was,C,33,6,26.6,55.5,14.4,0.115,7,0.571,43,0,8.7,6.5,13.9,1,0.17,0.33,1
1498,Marco Belinelli,Phi,SG,31,10,27.3,57,19.3,0.032,31,0.871,60,46,12.9,2.1,4.1,2,0.7,0,0.4
1499,Marcus Georges-Hunt,Min,SG,23,2,1.4,2.9,15.8,0,0,0,1,0,0,0.5,20.5,0,0,0,0
